"IndividualId","Time [min]","Organism|VenousBlood|Plasma|7E3|Concentration in container [µmol/l]"
0,5055,0.39290214
0,5070,0.39271137
0,5085,0.39252082
0,5100,0.3923305
0,5115,0.39214036
0,5130,0.39195046
0,5145,0.39176074
0,5160,0.39157125
0,5175,0.39138195
0,5190,0.39119285
0,5205,0.39100394
0,5220,0.39081526
0,5235,0.39062673
0,5250,0.39043844
0,5265,0.3902503
0,5280,0.3900624
0,5295,0.38987464
0,5310,0.3896871
0,5325,0.38949972
0,5340,0.38931254
0,5355,0.38912553
0,5370,0.3889387
0,5385,0.38875204
0,5400,0.38856557
0,5415,0.38837925
0,5430,0.38819313
0,5445,0.38800716
0,5460,0.38782138
0,5475,0.38763577
0,5490,0.38745034
0,5505,0.38726503
0,5520,0.38707992
0,5535,0.38689497
0,5550,0.38671017
0,5565,0.38652554
0,5580,0.38634107
0,5595,0.38615674
0,5610,0.3859726
0,5625,0.3857886
0,5640,0.38560474
0,5655,0.38542104
0,5670,0.3852375
0,5685,0.3850541
0,5700,0.38487086
0,5715,0.38468775
0,5730,0.38450482
0,5745,0.38432202
0,5760,0.38413936
0,5775,0.38395685
0,5790,0.3837745
0,5805,0.38359225
0,5820,0.3834102
0,5835,0.38322824
0,5850,0.38304645
0,5865,0.38286477
0,5880,0.38268325
0,5895,0.38250187
0,5910,0.3823206
0,5925,0.3821395
0,5940,0.3819585
0,5955,0.38177767
0,5970,0.38159695
0,5985,0.38141638
0,6000,0.38123593
0,6015,0.38105562
0,6030,0.3808754
0,6045,0.38069537
0,6060,0.38051543
0,6075,0.38033563
0,6090,0.38015595
0,6105,0.3799764
0,6120,0.37979698
0,6135,0.3796177
0,6150,0.37943852
0,6165,0.37925947
0,6180,0.37908053
0,6195,0.37890172
0,6210,0.37872306
0,6225,0.37854448
0,6240,0.37836605
0,6255,0.37818772
0,6270,0.37800953
0,6285,0.37783146
0,6300,0.37765348
0,6315,0.37747565
0,6330,0.3772979
0,6345,0.37712032
0,6360,0.3769428
0,6375,0.37676543
0,6390,0.37658817
0,6405,0.37641102
0,6420,0.376234
0,6435,0.3760571
0,6450,0.37588027
0,6465,0.37570357
0,6480,0.375527
0,6495,0.37535053
0,6510,0.37517416
0,6525,0.3749979
0,6540,0.37482178
0,6555,0.37464577
0,6570,0.37446985
0,6585,0.37429404
